"Mdloti Network, Sept 2002, in gC/m2 and gC/m2/d - 2010 by UM Scharler"    
43 40 
Phytoplankton 
Benthic microalgae 
Bacteria 
Ciliated Protozoa 
Pseudodiaptomus hessei 
Copepod nauplii 
Caridean larvae 
Brachyuran larvae 
Cyclopoda 
Mesodopsis africana 
Ceriodaphna sp. 
Nematodes 
Mites 
Harp. 
Nauplii 
Chironomid 
Turbellaria 
Polychaeta 
Ostracod 
Oligochaeta 
Capitellidae 
Ceratonereis keiskama 
Desdemona ornata 
Grandidierella sp. 
Apseudes digitalis 
Callianassa 
13 34 0.002026402 
13 36 0.09944499 
13 37 0.003855721 
13 42 46.63299 
14 13 3.741953 
14 29 0.001828675 
14 30 0.2143127 
14 31 0.02897765 
14 32 0.03538269 
14 33 0.006723801 
14 34 0.001744298 
14 35 1.1401 
14 36 0.0855706 
14 37 0.003318813 
14 42 3.434482 
15 30 0.1281907 
15 31 0.01732944 
15 33 0.004020966 
15 34 0.001043143 
15 36 0.0511679 
15 37 0.001984357 
15 42 0.8810825 
16 28 0.0462825 
16 29 0.001328978 
16 30 0.04013171 
16 31 0.02105939 
16 32 0.02569125 
16 33 0.004886457 
16 34 0.001267664 
16 36 0.04008562 
16 37 0.002411672 
16 42 0.05435286 
17 29 0.002111579 
17 30 0.2474577 
17 31 0.0334606 
17 33 0.007764011 
17 34 0.002014145 
17 36 0.09881091 
17 37 0.003832393 
17 42 24.5639 
18 12 7.791969 
18 18 7.777388 
18 29 0.001956524 
18 30 0.2292916 
18 31 0.03100358 
18 33 0.007163792 
18 34 0.001866247 
18 36 0.09155415 
18 37 0.003550909 
18 42 6.977632 
19 30 0.1602394 
19 31 0.02166411 
19 33 0.005005742 
19 34 0.001304065 
19 36 0.06397025 
19 37 0.00248095 
19 42 1.712286 
20 18 7.34852 
20 29 0.001952943 
20 30 0.228872 
20 31 0.03094683 
20 33 0.007150677 
20 34 0.001862831 
20 36 0.09138651 
20 37 0.00351437 
20 42 6.682392 
21 29 0.001641117 
21 30 0.1923385 
21 31 0.0260056 
21 33 0.006008918 
21 34 0.001565397 
21 36 0.0767927 
21 37 0.002953084 
21 42 11.9311 
22 29 0.002915995 
22 30 0.3470412 
22 31 0.0469295 
22 33 0.01084375 
22 34 0.002824894 
22 36 0.138591 
22 37 0.005329878 
22 42 6514.208 
23 29 0.002382043 
23 30 0.2835059 
23 31 0.0383362 
23 33 0.008858117 
23 34 0.002270407 
23 36 0.1132109 
23 37 0.004353745 
23 42 5155.945 
24 27 0.000126103 
24 29 0.001344062 
24 30 0.1589666 
24 31 0.0216312 
24 33 0.004998139 
24 34 0.001281083 
24 36 0.06387305 
24 37 0.002456187 
24 42 0.1356325 
25 27 0.0001017669 
25 29 0.0002033718 
25 30 0.0002034578 
25 31 0.0002033736 
25 33 0.0002033683 
25 34 0.0002033756 
25 36 0.000203327 
25 37 0.0001829633 
25 42 0.0002449039 
26 27 0.0001497016 
26 29 0.001915144 
26 30 0.2279494 
26 31 0.03082205 
26 42 20.39452 
27 41 0.0001220962 
27 43 0.0001330953 
28 41 2.621562 
28 43 3.247048 
29 41 0.005674697 
29 43 0.006131527 
30 41 0.7699099 
30 43 0.8359832 
31 41 0.1056336 
31 43 0.1144148 
32 41 0.02579289 
32 43 0.02845929 
33 41 0.02283164 
33 43 0.02473233 
34 41 0.005953352 
34 43 0.006443234 
35 41 0.6463639 
35 43 0.7110021 
36 41 0.2857741 
36 43 0.3094683 
37 41 0.01126902 
37 43 0.01221128 
38 41 0.0923486 
38 43 0.1027224 
39 41 0.01589764 
39 43 0.01769052 
40 29 0.0007277558 
40 41 0.003354869 
40 43 0.004052212 
41 5 0.2478765 
41 6 0.01060874 
41 7 0.004925686 
41 8 0.003430109 
41 9 0.00243581 
41 10 0.0001559542 
41 11 0.0001251306 
41 15 0.8324571 
41 28 12.84321 
41 40 0.003862819 
41 42 1904.102 
42 12 159.6704 
42 13 247.6568 
42 14 25.19677 
42 15 1.778792 
42 16 0.5505538 
42 17 60.6335 
42 18 40.91462 
42 19 5.208446 
42 20 47.16227 
42 21 11.78828 
42 22 7062.796 
42 23 5501.571 
42 24 0.5295336 
42 25 0.002260089 
42 26 42.73238 
42 27 0.0001638995 
42 29 0.002096877 
42 30 0.2495411 
42 31 0.03374682 
42 32 0.04117476 
42 33 0.007797662 
42 34 0.001998609 
42 35 1.327819 
42 36 0.09965621 
42 37 0.003832427 
42 38 0.3206717 
42 39 0.05519816 
42 41 501.963 
43 3 13587.53 
-1 
