Names;Diatoms;Flagellates;Bacteria;HM plankton;Small copepods;Medium copepods;Large copepods;Other lg zooplankton;Sm macrobenthos;Lg suspension feeder;Echinoderm;Mollusc;Prawn & shrimp;Large crustacean;Cuttlefish;Other cephalopod;Flatfish;Gurnard;Other benthic carnivorous fish;Lizardfish;Red tjor-tjor;Pinky;Other benthopelagic fish;Sm pelagic fish;Lg pelagic fish;Skates and rays;Sm benthic shark;Large sharks;Cetaceans;Susp POC;Sed POC;DOC;DIC;IsAlive;Biomass;Export;Respiration;TrophicLevel
Sm pelagic fish;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.4;2.38;0.198;0.0;0.0;0.0;0.0;0.0;0.0;38.1;0.0;3.42;6.4;29.0;56.6;56.6;0.0;0.0;1.0;48.384;0.0;336.75;2.9217315011289307
Lg pelagic fish;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.65;0.0;0.0;2.21;3.7;0.0;16.8;0.0;0.0;1.0;9.1443;0.0;57.737;4.0858686625992
Skates and rays;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.895;0.0;5.84;0.443;0.0;17.5;0.0;0.0;1.0;17.13;0.0;19.871;3.645000245903062
Sm benthic shark;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.69;0.0;0.0;5.82;0.0;0.0;1.0;7.5971;0.0;15.042;3.724773768769013
Large sharks;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0398;0.0;0.0;8.11;0.0;0.0;1.0;18.0;0.0;23.346;4.499310283869729
Cetaceans;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;14.3;0.0;0.0;1.0;6.6431;0.0;49.159;4.210746121436615
Susp POC;0.0;0.0;4.472;0.704;0.928;3.19;1.66;0.33;3480.0;159.0;0.496;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.6;0.0;0.0;0.0;0.0;0.0;0.0;21100.0;21100.0;0.0;0.0;0.3321;0.0;0.0;1.0
Sed POC;0.0;0.0;1.118;0.176;0.0;0.0;0.0;0.0;95300.0;0.0;1.81;4.09;2.14;17.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.55;0.0;0.0;1.0
DOC;0.0;0.0;102.86;16.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.2;28800.0;0.0;1.0
DIC;372.8;267.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1364.2;2679.0;0.0;1.0
Import;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.9;0.0;0.0;5.51;0.0;45800.0;51200.0;7700.0;3320.0;0.0;0.0;0.0;0.0;0.0
